open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1729884600000,66806.0,67010.71,66700.41,66736.04,84.9008,1729886399999,5678984.6459949,7630,43.68316,2921782.2225063,0
1729886400000,66745.98,66835.99,66456.75,66769.48,80.89086,1729888199999,5393828.3787969,4410,44.68294,2979293.6093513,0
1729888200000,66769.48,66894.92,66548.0,66794.92,83.68641,1729889999999,5582376.5073171,4623,45.24911,3018301.6387289,0
1729890000000,66794.92,67108.29,66794.92,67048.1,75.5614,1729891799999,5057126.0565127,4260,37.09527,2482384.7413942,0
1729891800000,67048.1,67186.0,66909.49,67183.63,35.04795,1729893599999,2350770.6567772,2734,11.42213,765932.3176519,0
1729893600000,67182.72,67274.26,67078.59,67093.98,34.06487,1729895399999,2288912.0142615,1837,12.17453,818048.1042776,0
1729895400000,67095.93,67165.45,66522.01,66528.0,80.13605,1729897199999,5356334.8396095,4342,30.25009,2021217.7331772,0
1729897200000,66531.99,66631.41,65506.34,65747.99,346.85987,1729898999999,22886994.6879142,18585,162.10244,10693445.5252534,0
1729899000000,65747.99,66687.5,65645.85,66578.02,188.0224,1729900799999,12460786.5083826,9353,102.29005,6779167.2542965,0
1729900800000,66573.96,66720.13,66437.75,66673.99,120.32749,1729902599999,8011988.7231802,4626,57.47921,3826631.6302614,0
1729902600000,66671.99,66757.35,66562.64,66649.97,52.5592,1729904399999,3504842.1696516,3173,23.59668,1573520.6621145,0
1729904400000,66649.97,66722.46,66449.13,66663.99,56.09101,1729906199999,3733129.4554985,2075,24.26261,1614574.8892173,0
1729906200000,66668.61,66668.61,66441.1,66607.03,92.33644,1729907999999,6146326.2615459,3062,49.67465,3306260.2573362,0
1729908000000,66607.03,66693.12,66344.41,66641.74,36.53549,1729909799999,2430063.7531633,2492,14.18071,943243.9146711,0
1729909800000,66638.0,66982.0,66531.99,66740.02,73.70249,1729911599999,4924056.5164442,5750,46.72601,3122592.8425781,0
1729911600000,66744.24,66863.96,66595.62,66845.01,44.27821,1729913399999,2952982.1543719,6745,17.14079,1143071.9308163,0
1729913400000,66841.16,66887.73,66788.01,66810.99,17.31873,1729915199999,1157590.8983839,3184,7.41087,495358.9253276,0
1729915200000,66821.39,66909.33,66695.29,66865.27,37.71944,1729916999999,2520400.7043006,2574,12.71277,849585.9996166,0
1729917000000,66866.49,66880.0,66805.82,66860.03,8.63772,1729918799999,577396.0114544,754,4.32502,289082.7191725,0
1729918800000,66860.03,67096.76,66860.02,67066.0,37.81463,1729920599999,2532210.7189112,2775,27.91846,1869288.6651641,0
1729920600000,67059.46,67144.37,67036.0,67056.98,28.93777,1729922399999,1941522.6311737,1611,11.5816,777013.4827,0
1729922400000,67056.98,67111.99,66968.01,67047.73,23.26871,1729924199999,1560027.2395074,1528,11.14718,747460.0413597,0
1729924200000,67047.73,67161.26,67038.0,67095.36,13.87776,1729925999999,931301.7876914,1699,6.90679,463486.9161872,0
1729926000000,67095.36,67112.15,66962.01,66963.1,21.40802,1729927799999,1435203.2330826,1413,9.18204,615576.0212269,0
1729927800000,66963.1,67006.0,66921.54,66937.93,15.83313,1729929599999,1060185.1024563,1283,5.27528,353239.1350643,0
1729929600000,66934.03,67076.91,66926.03,67068.03,14.47358,1729931399999,969841.5744134,1371,7.11174,476551.1183035,0
1729931400000,67070.57,67107.98,67004.56,67064.48,11.00926,1729933199999,738287.9221694,1306,4.94615,331666.8077336,0
1729933200000,67064.48,67193.92,67027.23,67148.98,26.30954,1729934999999,1765544.9972119,1845,15.01119,1007379.3367755,0
1729935000000,67147.27,67148.25,66980.01,66980.01,17.08996,1729936799999,1146179.9624843,1728,5.97389,400663.5070474,0
1729936800000,66980.01,67100.09,66980.01,67100.09,17.63173,1729938599999,1181923.8132788,1542,11.27094,755560.1008423,0
1729938600000,67103.99,67117.98,66923.35,66989.98,13.27144,1729940399999,889395.8362854,1728,5.64797,378424.7786594,0
1729940400000,66989.98,67017.87,66891.34,66977.98,19.80244,1729942199999,1325945.4349915,1562,8.48638,568154.0860272,0
1729942200000,66977.98,67092.27,66971.07,67063.0,11.82431,1729943999999,792764.310813,1730,7.57705,508023.3930498,0
1729944000000,67063.01,67108.01,66942.61,66948.18,13.51726,1729945799999,905674.1004467,1779,5.46491,366098.7249798,0
1729945800000,66943.97,66993.99,66921.39,66954.88,15.90038,1729947599999,1064674.374858,1385,6.87546,460335.5070784,0
1729947600000,66959.38,67010.0,66671.21,66981.55,42.50889,1729949399999,2844085.2544259,3823,18.78471,1257506.3918665,0
1729949400000,66981.55,67036.89,66789.25,66823.15,42.62732,1729951199999,2852487.3391866,2646,21.3572,1429544.8209826,0
1729951200000,66814.02,66881.41,66683.46,66747.9,34.28783,1729952999999,2289847.8136672,2485,15.78492,1054060.8000716,0
1729953000000,66747.9,66796.14,66660.89,66722.01,29.33458,1729954799999,1957455.6940697,2200,14.22027,948882.5477486,0
1729954800000,66727.99,66895.82,66681.69,66857.19,32.23373,1729956599999,2153164.1884589,2580,16.28225,1087526.2018024,0
1729956600000,66862.75,66930.34,66781.28,66806.03,17.51461,1729958399999,1170734.4275046,1460,9.18024,613646.8271834,0
1729958400000,66806.04,66891.45,66708.75,66876.7,28.39548,1729960199999,1896451.9066443,2806,11.4704,766016.6528494,0
1729960200000,66876.99,66973.67,66808.91,66901.87,15.30452,1729961999999,1023808.9651683,1326,7.64991,511752.38029,0
1729962000000,66901.87,66969.13,66885.34,66962.15,16.32276,1729963799999,1092389.5356243,1113,11.39434,762523.5660333,0
1729963800000,66962.14,67060.0,66962.0,66983.68,16.46195,1729965599999,1103324.7518431,2688,7.34816,492497.869849,0
1729965600000,66983.69,67070.0,66948.33,67022.01,18.87806,1729967399999,1265001.0799477,3780,5.9926,401537.9656387,0
1729967400000,67022.01,67034.0,66956.0,66956.01,9.3968,1729969199999,629669.1982119,1269,3.91631,262421.8916395,0
